Document	psif	fatcat_sentence	prediction	ground_truth	fatcat_sentence_index
Used an lb hammer days ago and pain throughout the day.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05922522395849228	0	4765
Relates to bending pushing and pulling carts full of parts.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05963023006916046	0	4765
Went out side to got some fresh air and started to feel better.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.061196599155664444	0	4765
There was a strong smell from the acid and the noise was loud.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.0558023564517498	0	4765
Leadership safety deviations.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.0588064081966877	0	4765
Conducting Pre lift meeting before the critical lift.	nonsif	Worker fell from roof elevation.	0.0627063661813736	0	5069
Contacted allergic reaction from the Resin.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06198832765221596	0	4765
Opening cardboard boxes shipping receiving.	nonsif	Worker installing heavy overhead door was hit when the door fell.	0.0717746764421463	0	1180
The first hole has been filled but it is getting worse.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05682710185647011	0	4765
Production associate received a small cut on right thumb while handling a part.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05629358068108559	0	4765
A pneumatic tool is used to ratchet the doors open.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.07079481333494186	0	4765
The primary failures that have been initially identified are as follows.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05633416026830673	0	4765
Employee reported incident within hours.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05518080294132233	0	4765
Upon observation completion OES found wildlife at base of the pole.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06232428550720215	0	4765
The rug had a large puddle of water underneath it.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05806360021233559	0	4765
Employee injured on am was treated by security officers D Kasula and J Cyrenne.	nonsif	Worker at a correctional facility was injure during a prison riot.	0.9143299460411072	0	2230
Driving to lunch at South Melbourne business meetings event travel.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.061838794499635696	0	4765
Fan missing guars at press.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06039863079786301	0	4765
