Document	psif	sim_avg	sim_max	sim_min	sim_max_index	sim_min_index
The pole was stenciled Z when it was actually part of Z.	nonsif	0.016953319311141968	0.05767223611474037	-0.023765595629811287	4765	607
The job requires me to check the primary and secondary lock function.	nonsif	0.0175434909760952	0.05770982801914215	-0.0226228479295969	4765	607
livening of gear.	nonsif	0.017602985724806786	0.060300134122371674	-0.025094162672758102	4765	224
EXPOSED TO POSSIBLE DRAIGE WATER.	nonsif	0.018502434715628624	0.05798787623643875	-0.020983006805181503	4765	607
Attributes pain to continuously turning steering wheel on lift truck causing pain in lt.	nonsif	0.044457510113716125	0.13523194193840027	-0.04631692171096802	7333	172
EE began to feel pain in his left hand after performing his regular duties.	nonsif	0.016633331775665283	0.05702562257647514	-0.023758959025144577	4765	607
Upon review the switches were only rated for charging current.	nonsif	0.016712423413991928	0.057550620287656784	-0.024125773459672928	4765	607
Did nt feel anything pop or stretch.	nonsif	0.026512663811445236	0.07925772666931152	-0.026232397183775902	1180	1271
The employee also ensured that a safe following distance was being maintained as well.	nonsif	0.015413721092045307	0.05608749017119408	-0.025260047987103462	4765	607
The Comed vehicle drivers did not notice the condition until it was too late.	nonsif	0.016841575503349304	0.05793799087405205	-0.02425483986735344	4765	6403
There was nothing I could do to avoid this accident.	nonsif	0.018946435302495956	0.060823891311883926	-0.022931018844246864	4765	607
Employee was described as a younger lady with short drk brown hair.	nonsif	0.06463700532913208	0.21813061833381653	-0.08885661512613297	1	443
I asked the CL to change his FR sweatshirt due to holes in it.	nonsif	0.017154397442936897	0.05741265416145325	-0.023103859275579453	4765	607
Pick boxes of lock kits from high and low areas hundreds per ticker.	nonsif	0.021866928786039352	0.06132334843277931	-0.017589492723345757	4765	607
Event involved a common carrier delivery.	nonsif	0.01902809739112854	0.058701202273368835	-0.020645009353756905	4765	568
Related to using Lt hand arm to constantly turn jitney steering wheel.	nonsif	0.020613502711057663	0.0648266151547432	-0.02359960786998272	4765	5928
On December Saturday at approximately I was working the roll up with Scott Osborne.	nonsif	0.017499398440122604	0.05877584218978882	-0.02377704530954361	4765	607
Employee caught hand between wings of double doors.	nonsif	0.06895852088928223	0.1719769686460495	-0.03405991941690445	1180	6403
She had a small bruise on the head.	nonsif	0.016034763306379318	0.05640552565455437	-0.02433599717915058	4765	607
COTE dIVOIRE Inadequate supervision housekeeping and inspection.	nonsif	0.017736177891492844	0.05753534287214279	-0.022062987089157104	4765	607
There was an small abrasion to the finger Thumb while cutting pack of diodes.	nonsif	0.01854817382991314	0.05804808810353279	-0.020951740443706512	4765	607
DA Preliminary Findings.	nonsif	0.016649026423692703	0.05624036118388176	-0.022942310199141502	4765	607
For the weekend we had a different FLS covering all days.	nonsif	0.017273513600230217	0.057175904512405396	-0.02262887731194496	4765	607
Old heat exhaust duck pipe behind the chemical wash tank.	nonsif	0.02283383160829544	0.06958962231874466	-0.02392195723950863	1176	5186
I got in my car and exited the parking area per plan.	nonsif	0.025960935279726982	0.07465748488903046	-0.022735614329576492	5263	6403
The reader explained that he caught it on a fence post that morning.	nonsif	0.025776565074920654	0.08499615639448166	-0.03344302624464035	1180	755
Scaffolding employee was pulling a nail from a toe board with his hands crossed.	nonsif	0.020084280520677567	0.06317556649446487	-0.02300700545310974	4765	5928
The M was not included in LRP for the following reasons.	nonsif	0.017854267731308937	0.05930468440055847	-0.023596148937940598	4765	607
momentary outages AB.	nonsif	0.017083708196878433	0.05734005570411682	-0.023172641173005104	4765	607
I went inside with the client rep and measured the false ceiling height.	nonsif	0.017906181514263153	0.057975541800260544	-0.022163180634379387	4765	607
Noticed lump forming on wrist.	nonsif	0.016772225499153137	0.05693221464753151	-0.023387765511870384	4765	607
Many labels have faded for multiple controls.	nonsif	0.01724468544125557	0.057604894042015076	-0.023115523159503937	4765	607
Rash was already forming.	nonsif	0.01869354397058487	0.05776842683553696	-0.02038133703172207	4765	607
elbow and is not sore.	nonsif	0.021046709269285202	0.06360313296318054	-0.021509716287255287	4765	5928
Operating forklift WO completing safety check list woodworking.	nonsif	0.06452938169240952	0.2860855460166931	-0.15702678263187408	160	91
The trucks were set up properly to perform the work.	nonsif	0.0404614582657814	0.1271533966064453	-0.04623048007488251	7333	6084
As they proceeded to the meters a dog began to charge the read.	nonsif	0.01921471208333969	0.058075886219739914	-0.01964646205306053	4765	2682
WASHER OPERATOR TO LOCK OUT THE SCREEN.	nonsif	0.017008662223815918	0.05729860067367554	-0.02328127808868885	4765	607
Another employee was walking and stumbled with the files.	nonsif	0.1910725235939026	0.5170984268188477	-0.13495337963104248	2293	1271
tip grind operation machining.	nonsif	0.015965569764375687	0.05951293185353279	-0.027581792324781418	4765	224
employee was working the V stretchwrappers prior to rotating to the Belt Roll Up.	nonsif	0.0168102215975523	0.05696700140833855	-0.023346558213233948	4765	607
Jochax Safety glasses.	nonsif	0.018273472785949707	0.058929622173309326	-0.022382676601409912	4765	1082
employee injured his arm while handling material.	nonsif	0.2461850643157959	0.7699494361877441	-0.27757930755615234	1625	5509
I grabbed a cable to unhook it from the die.	nonsif	0.018448133021593094	0.0580870695412159	-0.02119080163538456	4765	607
